id,games,name,checksum
4289,[62563],Space Dandy,e0727076-87ba-9ac7-1687-fa308c5d965a
907,"[2984, 3007, 5137, 5138, 5820, 6027, 6394, 6882, 6977, 6978, 6982, 7173, 7174, 7175, 7290, 12279, 12280, 12286, 12295, 12298, 12299, 19618, 19620, 19624, 19631, 19964, 21072, 21534, 21712, 25639, 26180, 26546, 27272, 28368, 42886, 44157, 45014, 52832, 64360, 64991, 66894, 67194, 93746, 100279, 111063, 112910, 122081, 136468, 143608, 198124, 247095, 285381, 287843, 303808]",Dynasty Warriors,9005942d-ad26-6c0c-7bb5-e1073babf935
108,"[2822, 2823, 131687, 203060, 309229]",Samurai Jack,f42ada59-ea50-0c2f-1e81-de7c21d71288
295,[4815],The Dog,01cc866b-0d90-4a83-4335-78a47ac495f2
6162,,Comic Book Hero,aec2b8c3-8bea-b013-8ad3-5e0304f23761
3471,"[61329, 61330, 66384, 69329, 84452, 123079, 165589, 165590, 288133, 288135, 289363, 289364]",Tenchi Muyo,6fb71d3a-bcb3-7f74-5c49-f672585a44bd
4790,[93010],Fido Dido,075a6b55-501a-1cdf-323e-5bf994cc2696
5517,"[89817, 96138]",Zootopia,781e6026-dbd6-9737-9ff4-c451a3d37579
1039,"[41053, 41055, 41058, 131768, 315273]",The Seven Deadly Sins,ef2d930d-3247-2031-18fc-41b3d9ebbd53
4087,[219443],Pretz,78d7a264-eb1a-f65a-9182-8ce357bc9e6a
793,"[2970, 7776, 14591, 18577, 45665, 48924, 91094, 136619, 196206, 198679, 242267, 262942, 264286, 284226, 289065]",Battletoads,a86f73a6-8462-ff7a-09e7-2d030e60e7d9
215,"[4003, 5005, 12898, 43745, 49285, 49912, 69996, 119167, 199004, 200455, 218018, 218260, 240165]",Men in Black,9e52e317-118e-30cd-2dd2-b6227d8df56f
6123,[321686],Thunderbirds,f5f49216-e1fc-e060-d5d3-cdd9918e0118
144,"[2785, 2809, 2810, 3248, 21151, 241137, 259229, 289039, 289486]",Johnny Bravo,b0e12f7d-9893-b13e-cb1d-9f296f1e3610
3160,"[7794, 7795, 9028, 37602, 37615, 42129, 42408, 50580, 51632, 64343, 64344, 73031, 98703, 137183, 191614, 228469, 280819, 282804]",Bonk,48df7ecd-0e37-d27a-ae0b-191a8a84ef40
163,"[3763, 300925]",Pacific Rim,27c6a451-2967-c791-724f-5d763bfc0a45
556,"[2429, 2430, 2431, 3141, 3803, 26986, 36893]",The Bard's Tale,02895a4f-f45a-d665-a8f5-b0ab5ef30b69
751,"[15847, 80426, 138356]",Aeon Flux,065b91c6-ac57-57a4-5a17-5b5822102db7
5003,"[20318, 23391, 50710, 86879, 148289, 195617, 214721, 229119, 256219, 274683, 297771, 308699]",Peppa Pig,edb8d17e-6230-2fd0-d86a-8843519848c2
21,[140690],BloodRayne,aebed9e5-3623-548b-b663-5418391cd69a
5854,"[38924, 313333]",Strontium Dog,3824b101-ebbe-0619-a87e-8c779b45c84f
4080,[219016],Rescue 911,c22eb323-ad85-a713-e1fb-e0b936123bd6
361,"[4695, 4696, 4697, 4698, 5414, 5415, 5416, 5417, 22240, 135286, 256773, 256777]",Twisted Metal,5de8a14a-6fe1-4105-34a0-e2f0180118bc
3787,"[6480, 43375, 49463, 49922, 58644, 89817, 96138, 111548, 123599, 172397, 204575, 204576, 204616, 204668, 205928, 241721, 284215, 304290]",Disney's The Jungle Book,fa5d4194-f088-9597-53c6-35a10f9a734b
5771,[223112],Myst,e19cbcd4-a82c-4681-4652-ba71c7bf28eb
4537,[80496],Bobby Labonte,59ca6700-f033-93e4-7adf-a9142565d025
2567,"[4621, 78887, 98524, 145280, 287593]",Spelunker,f69c31e1-fb37-9d38-e46b-25c1ea3a8abf
3798,"[70666, 70669, 124276]",My Guardian Characters,ead37b67-b75c-eac5-8b88-cbe474d61c18
4583,"[225838, 248834]",Foodfight!,d54df8b8-7560-29b5-953a-2088f4943d31
5825,"[16026, 16272, 21571, 47636, 47659, 47726, 84786, 84787, 84788, 308990]",Puzzler,5ec6282a-7772-bc17-027d-35903ea14c1d
5841,"[48773, 48881]",Mito Koumon,e00a79c8-ab59-72f0-8e4d-a5dbe1feda3e
936,[17407],Castle,a180c9d9-49f2-604e-56ec-daa5d88dbcb0
4940,"[22450, 44778, 80746]",Hajime no Ippo,e94c3ab3-52ab-5bfa-f65e-06958a479044
2391,[51364],Heavy Gear,f1766b55-ad69-531c-5a7b-c60cf079bfc8
871,"[3762, 6063, 6064, 20630, 44677, 46030, 66511, 66544, 79069, 203212, 262030]",Ape Escape,a7771a93-d7bf-9093-38d9-20e941c16972
513,"[8567, 19318, 25142, 47672, 89146, 232507, 311684, 311686, 311689, 311691, 311693]",Monster High,7be20628-81a6-a7f2-455b-de64b685cd10
3291,"[63478, 280846, 284451, 284452, 284454, 284456, 284457]",Mashin Hero Wataru,f63c19d5-706f-067f-5509-a490ff55236b
6230,[321466],Little Battlers Experience,378d0181-79f9-29ad-5952-4f10a1bdba6c
522,"[8848, 13296, 13297, 218333, 267630]",Airwolf,402416fb-3699-7ddf-95a8-1985830f6338
5529,"[89817, 96138]",Turning Red,5db29c45-cf28-63d3-f440-94e1a74316a0
1193,"[6469, 56328, 73176, 79132, 98251, 144839, 145699, 200672, 205971, 205972, 205973, 242502, 242504, 242506, 242527, 242528, 242529, 242530, 242531, 242532, 242534, 242535, 307626]",Adiboo,01ccf3f7-95d0-6dbf-8286-cee4d5ef2bb8
724,"[3425, 7792, 47007, 48963, 265032, 265033]",The Blues Brothers,785c55fb-c2c7-cc07-7295-6e020f25acc3
392,"[6199, 264857, 264859, 278535, 305004]",The Thing,b7371065-63da-0de2-d487-2a53b472966f
296,"[11077, 112674]",The Lego Movie,0a4d821e-be63-53b0-969a-db56999575dd
4792,[208792],Cooking Academy,9ce52514-648e-2854-71d3-39143e59e54e
510,"[8530, 14389, 26287, 83891, 305377]",Friday the 13th,92c1063c-8652-427c-1cbc-7b3222895633
305,[4893],Gold's Gym,e77426b5-6ed1-c73f-8ee3-41e02e94078e
441,[7246],Watchmen,04d5c56f-e231-da89-1e75-7eb433d23309
532,"[4663, 17470, 19657, 78604, 135105, 159123, 246262, 250890]",Agatha Christie,55162e85-da92-63f3-18da-484017f88bcd
4536,[80496],Dale Jarrett,c173cb00-dd26-d1a6-8faa-800ea84b3aba
2806,"[71759, 282069]",The Last Starfighter,ef15fb3d-6f29-f5e9-0e06-5c412684f9b5
4939,[49711],Mañanitos,296c50d2-a9b9-ab7f-303f-057f92a972dc
212,[3959],The Italian Job,d60322ed-ca80-fa77-45aa-5d08497235ac
306,[4895],Grease,e6b7c82a-769f-66f4-985a-feaed3e7955a
469,"[7980, 230405]",Team Umizoomi,2313c5bb-b763-9995-c00e-f0a9f2656958
471,"[7994, 63640, 63641, 210347]",Back at the Barnyard,7df8037a-94ef-bc6a-dbf5-0404ead08555
1335,[25056],Black Moon Chronicles,3f31cd14-f04d-54d1-5240-3ae02cd1248c
5574,"[70718, 300978]",Nike,2c275ae5-e209-e399-574a-764bda721fc4
214,"[3977, 248492, 248493]",A Series of Unfortunate Events,49f4c576-ca20-538d-9922-6192b6951b36
473,[7997],Nacho Libre,7a146b97-3df3-be76-8636-1801813fd127
244,[4183],Starsky & Hutch,22e02e5d-662d-c9b6-6c49-0e34324f5e33
3219,"[3625, 42338, 42370, 45073, 46089, 49110, 61503, 65200]",All Japan Pro Wrestling,a4f7d1ae-feb9-f884-f5ed-b0573cb9d011
1458,"[14748, 18856, 111334, 115646, 119390, 125759, 136325, 136328, 136358, 150149, 154454, 154455, 166259]",Ni no Kuni,74123396-9eda-5680-bda1-8f1e39b66455
245,"[4191, 201349, 248517, 248518]",Surf's Up,2981d2cf-3d3f-fb07-452c-140df751e0e0
1062,"[3042, 21762, 102584, 248317, 278186, 283599, 314252, 322800]",Dying Light,40c33ad4-a3f4-bd8e-b67a-881db613c6f7
4631,"[49884, 208357]",Stuart Little,fe1449f4-b7b5-47de-d89a-b16f09c19314
346,"[5187, 17829, 36227, 36228, 50426, 50427, 58849, 69051, 69056, 79552, 137563, 220084, 221671, 228813, 230337, 230373, 230374, 230556, 243810, 243811, 245507, 245508, 245509, 246550, 246552, 246553, 246555, 246556, 246557]",Disney Princess,86a1baec-361a-60a9-f433-2934ca27d7bd
378,"[5818, 14042, 24137, 122629, 248617]",The Dukes of Hazzard,a7335aea-883f-0220-a3be-55e74e2ffbac
385,[5942],Happy Tree Friends,92cf2c30-9515-e610-e322-d0e892409f20
652,"[13020, 50270]",The NeverEnding Story,8dddfcfb-a256-c8a5-9263-3a24eacab462
783,"[18385, 49890, 218797, 222896, 228914, 295028]",Austin Powers,f95022cd-d7db-ce09-45ea-fe0bacfbae02
2783,[150558],Girls' Last Tour,3233d908-60cc-04e1-d6b0-9e656f8ab1a1
5294,"[286115, 286116, 286117]",Jungledyret Hugo,e6a2f43b-872a-50bb-8049-61ba68c2d289
849,[22734],M*A*S*H,005372ea-47aa-f511-bc63-fb7ddd085d3f
5252,"[12718, 79175, 290275]",Platoon,9d037a47-792b-b4e6-0712-bcb131996bf4
1041,"[44073, 44529, 96139, 318432]",Million Arthur,f81cdd1b-0e8c-d633-7511-74db82cc1f26
4547,[246520],3788,6658f443-7055-9c44-7db0-b38efbfab1b4
959,"[27108, 27109]",Umihara Kawase,04bc565d-be87-8832-79e9-89e88778788e
152,"[3396, 48976, 48977, 48978, 94102, 131471, 131472, 131547, 140551, 198771, 198772, 198773, 198774, 198775, 198776, 198777, 198778, 199428, 205764, 220095, 242735]",Jeopardy,499a968d-17a3-630f-1763-6c67c9a06564
564,"[10256, 20653, 37372, 37373, 37374, 43655, 45004, 49619, 100268, 121442]",Inuyasha,8ec50cab-326b-c81e-2e03-943428be2c1f
1079,[55024],Bullyparade,aa64fa2f-adc7-5152-d623-ecda33032900
3426,"[11831, 193806]",Black Rock Shooter,0da82b0f-f8a3-65f2-0d59-54bc66916827
661,"[11448, 13550]",The Irregular at Magic High School,bbe390f2-746c-ac00-962f-ce17406b65ea
663,"[11448, 13550]",Black Bullet,50c193ec-e222-9251-a2a2-59cd07a1ff23
1084,"[55094, 55095, 55096, 55097]",Bob Morane,06e23192-0c72-29cc-264a-1ebc9fd2fb88
3429,[61181],High School DxD,c7b385bb-c326-a673-62ff-120ee106fdaf
675,"[11448, 13550]",The Pet Girl of Sakurasou,b75f6d8e-096d-0e16-d148-b2496f9b5ef6
3790,"[44839, 46673, 89817, 96138, 246946, 324750]",Disney's Mulan,98717b1b-bb59-9060-fbf0-0707ac797a27
864,[23935],WarGames,a7a4d268-f8fd-bc39-cd8f-7578752b640f
2931,"[148527, 237649, 297764]",PJ Masks,5d4816be-6424-f518-b45c-ddfe60cde349
831,"[20910, 152123]",World War Z,09ab71e0-15f2-0172-5e66-50b79345959d
5331,"[16326, 58272, 322365]",Kellogg's,992a8ac5-3940-c4fc-3473-c479ca164f32
1350,"[72765, 108797, 197248, 219355, 225668, 245180, 245181, 245183, 245184, 245186, 245187, 245188, 245190, 245192, 245193, 245194, 245195, 245196, 245197, 245198, 245200]",Stranger Things,63ef0d7b-5de0-5c60-0088-d7f270cca65c
5216,"[2665, 2666, 68701, 152224, 163875]",Nerf,fe6edeeb-f04b-6277-8909-c63c1b581a54
5490,"[5397, 166595, 295046]",The Lawnmower Man,14985c8e-66e5-3a52-67b7-bd34386df3ba
704,"[13658, 86426]",Nyaruko: Crawling with Love,05e39ef1-2a4b-3fe3-ac9f-e605e1d77ca7
801,"[513, 1230, 1231, 1232, 1233, 6533, 7129, 7189, 9890, 19256, 20621, 21091, 21501, 21873, 21968, 23329, 42674, 43454, 45252, 45253, 45529, 45812, 46373, 51302, 67201, 69267, 69330, 70514, 79149, 79771, 80185, 100035, 106103, 109596, 112014, 129891, 131702, 132155, 132156, 136042, 136099, 136101, 136103, 136104, 136105, 136106, 136107, 136803, 136870, 136874, 143580, 202264]",Phantasy Star,7d4d1b24-1a2c-eef9-1a60-73a9e3a9c69d
1098,"[19958, 60492, 63054, 63055, 86425]",Kuroko's Basketball,92dd7419-4f68-96f3-dd07-eb81f7d9ab67
461,"[7784, 14302, 155412, 207048]",Bill & Ted,16504dbc-788a-7244-f36a-0a7f15cb5f1b
4538,"[93262, 201066]",Trails,9b441207-9448-c286-7bd3-7dcd9b40937f
1101,[19958],Nisekoi,109b2578-a7a3-4c06-5d97-5af1baabe76b
654,"[13058, 70204, 83907, 83908, 217731, 217732, 316832, 316839, 316841, 316843, 316845]",Dick Tracy,081e084b-2193-ba42-11e8-b28cd30aa8dc
4733,[223188],The Complex,1ad1d582-3f77-1809-7288-2649b8853081
3641,"[89817, 198996]",The Rescuers,a076cf9b-bc67-4fa3-4159-a8dd4033ab5b
767,"[17273, 17274]",Rocky Horror,c68aeed2-97a4-7cbd-7cb1-e3c9749d361c
697,"[13569, 13570, 14025]",Danger Mouse,a006e20a-67cf-8da4-efc5-46a9221fc806
1763,"[132016, 287897, 287898, 323566]",Hypnosis Mic,6d9b4594-2d35-db36-cb69-40c957f93730
822,"[19789, 198765, 199001, 205748]",Independence Day,968831b2-5dc8-7810-ee9c-f3d6b4d1578e
6071,[139185],Edens Zero,63336367-0561-b0b2-b959-69e542cc29a4
1525,"[2148, 2723, 3008, 3418, 6316, 6318, 24346, 113120, 122260, 194643, 201644, 201645, 264836, 279442, 289065]",Banjo & Kazooie,31288ec6-391a-9e79-caad-0d57cb7fdd3a
4540,[246578],rubble trouble,7e7d9869-16b5-285b-2249-de1f3ca65b0e
6121,"[129597, 129599, 129600, 321497, 321498]",Arcane Quest,a4fcbf8c-db5e-26ab-7e25-8ecdf7ea6514
4794,"[65476, 65979, 65980, 65983, 92391, 133591, 263688, 263689]",Pucca,d8794d9f-429c-5050-fa04-50f45b704ef2
823,"[14720, 51448, 107151, 115305, 120203, 136605, 148103, 154856, 282712]",RWBY,b5ddd4b7-f38c-f935-41ff-d0626f89fe26
5519,"[89817, 96138]",Hocus Pocus,43af15db-043a-5c87-e8fc-6a207e1628aa
1090,"[19958, 86425]",Beelzebub,2e1046be-1fdf-5c93-dfa8-cbef570bde01
4899,"[204449, 257782]",Too Hot to Handle,c1094afc-f919-28c6-b304-5583437f29b6
738,"[4104, 6511, 6512, 104241, 165816, 184782, 184783]",monster rancher,3396de1f-0f89-895c-9b4b-383c8efa5699
669,"[11448, 13550]",Boogiepop,05f35692-9ceb-ca02-4098-a3f0b8a7e4b7
5522,"[89817, 96138]",Disney's Robin Hood,0976bca1-3102-bd00-ebc2-70115f10b894
5421,"[11249, 290180]",James Bond Jr.,5b9bad5c-a502-f37c-37b9-76859627a514
4670,"[253691, 253694, 253695]",Nausicaä of the Valley of the Wind,fa990b0f-d8f2-3d31-d0cc-024f95ea5d34
4945,[48437],Kyouryuu Sentai Zyuranger,300549d9-8501-6fe4-3a6d-34e84ec44cf0
679,[13346],Atom Ant,c6e0a7f9-c05f-3600-1621-ede629467ce6
684,[13399],Biggles,2f06830d-7887-1848-89f0-5b01d9b4473f
1100,"[19958, 86425, 124486]",Neuro: Supernatural Detective,febae730-f3ef-abe0-6163-eae937892f44
4946,[65662],Labyrinth,8617765d-d303-56d5-8401-aaf33bcb7ae3
