id,abbreviation,category,generation,name,checksum,alternative_name,platform_family
62,Jaguar,1.0,5.0,Atari Jaguar,70557c0a-1cac-d093-d287-67d8e5a201b0,,
477,,5.0,8.0,Panasonic Jungle,ca866b1b-b074-cdec-2cf1-b79957647df3,,
504,,1.0,,Uzebox,6f7f06cb-3853-80ad-191a-dc6b1015f967,EUzebox,
148,,1.0,,AY-3-8607,b148a659-dc31-1245-8623-321ce9008d75,,
65,Atari8bit,6.0,,Atari 8-bit,37adef88-b15f-3963-a417-687e5e0a6260,,
128,supergrafx,1.0,4.0,PC Engine SuperGrafx,18e4df69-a46a-9ff2-c84a-ce29e88ac5c3,SuperGrafx,
89,microvision,5.0,2.0,Microvision,0d3ccf60-cdd5-5609-4f6b-fc6522e86a18,,
8,PS2,1.0,6.0,PlayStation 2,be3e025c-d4ed-b795-443c-a8cb55fbfe17,PS2,1.0
6,PC,4.0,,PC (Microsoft Windows),882ca6f3-57ac-cd51-6c68-7a1e030c36ab,mswin,
23,DC,1.0,6.0,Dreamcast,12e469e8-139b-53e8-d69c-772aaca8d87a,DC,3.0
35,Game Gear,5.0,4.0,Sega Game Gear,54cd82ec-c45b-f5d7-baae-97b94344e716,GG,3.0
44,zod,5.0,,Tapwave Zodiac,7916e6bf-353a-6f27-a8de-a429204d17d9,,
88,odyssey,1.0,1.0,Odyssey,26859452-7553-fa16-0833-3a62209ac679,Magnavox Odyssey; Odysee; Odisea; Odissea,
94,C+4,6.0,,Commodore Plus/4,ea138789-6bbe-bcca-dff5-7e20e762f65a,,
123,,5.0,5.0,WonderSwan Color,748af3e0-64cd-acfa-104b-eb1fe5c9ad42,WSC,
134,,6.0,,Acorn Electron,ec7fd022-fcf9-8bf8-a73b-09080d9d3515,,
129,ti-99,6.0,,Texas Instruments TI-99,b941f047-24e3-0297-b162-ea548b94b6f9,Texas Instruments TI-99/4A,
133,,6.0,,Odyssey 2 / Videopac G7000,e559181e-7edc-3d18-707e-c534dfbf01eb,Magnavox Odyssey²,
135,,2.0,,Hyper Neo Geo 64,fedca8ca-3a51-84db-1d6a-36a2536d3fe0,,
136,,1.0,4.0,Neo Geo CD,d2e84b49-6a66-6df9-cecf-e85abba7d90e,NGCD,
142,,1.0,1.0,PC-50X Family,bf68d34d-92d5-53be-0fc9-2493532a29a4,,
144,,1.0,,AY-3-8710,5438ffcf-1f05-47e9-e082-15bafd1dc92f,,
146,,1.0,,AY-3-8605,3c9b3a84-dc54-3c94-0ee0-5cb97809d2a5,,
147,,1.0,,AY-3-8606,49428df3-7b02-316e-2390-95a230795394,,
149,,6.0,,PC-9800 Series,59b1f9b8-2dd7-2d98-9d97-d2182d6c30cd,PC-98,
150,,6.0,,Turbografx-16/PC Engine CD,0ebd9409-3139-db67-2b02-317f9f3b6913,TG-16CD/PCECD,
505,,6.0,,Elektor TV Games Computer,79b53a4d-abdb-7ac9-7192-0527213be640,TVGC,
